width,noise,instance number, greedy mean,greedy stdev,pagerank value,regret value,optimal value
100,0.6,37,41.49,0.651796,41.7826,44.3077,45.3694,46.4269
100,0.6,38,39.8,0.66655,40.1912,42.3711,43.9168,44.9521
100,0.6,39,41.5,0.690495,42.0102,43.9797,44.3793,45.9857
100,0.6,40,40.58,0.723549,41.1201,43.1281,43.6452,45.346
100,0.6,41,40.96,0.634867,40.9556,43.5342,43.6687,45.1891
100,0.6,42,40.63,0.726176,41.7993,43.7846,44.9283,45.6985
100,0.6,43,42.66,0.65535,42.948,44.3084,45.5322,46.8074
100,0.6,44,40.75,0.719024,40.5745,43.928,44.2348,45.6388
100,0.6,45,41.55,0.636998,43.3621,44.0087,46.0888,46.8025
100,0.6,46,39.86,0.694023,40.9725,42.4882,43.1247,44.6094
100,0.6,47,41.66,0.681254,41.4645,43.4523,44.5578,46.0829
100,0.6,48,40.14,0.675174,40.5476,42.9826,43.3938,44.7647
100,0.6,49,41.1,0.704487,41.9557,43.9027,45.3069,45.9553
100,0.7,0,42.16,0.688303,42.3539,43.9977,44.8457,46.2994
100,0.7,1,39.68,0.6895,39.7678,41.5229,42.3655,43.798
100,0.7,2,41.99,0.659118,42.8983,44.3587,45.0325,46.1007
100,0.7,3,42.01,0.717488,42.2173,44.1752,44.4337,46.0334
100,0.7,4,40.92,0.671174,41.5201,43.4435,43.6017,44.9635
100,0.7,5,42.15,0.641734,42.5882,43.5118,45.1669,46.2886
100,0.7,6,43.62,0.670413,44.632,45.9582,45.8911,47.6235
100,0.7,7,41.7,0.708372,41.6179,43.5231,43.484,45.7332
100,0.7,8,41.61,0.698236,42.7485,44.1808,44.1271,45.4062
100,0.7,9,41.3,0.662146,42.2465,44.0422,44.9906,45.6523
100,0.7,10,42.38,0.695097,43.1624,45.1938,45.1939,46.6198
100,0.7,11,40.46,0.674036,41.1349,42.512,43.2072,44.3677
100,0.7,12,40.81,0.686899,40.8399,42.7248,43.7985,45.0403
